"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","ELDLYPOP","TOT","PC_POP","A","2012",17.94689,
"BEL","ELDLYPOP","TOT","PC_POP","A","2012",17.45372,
"CZE","ELDLYPOP","TOT","PC_POP","A","2012",16.50319,
"DNK","ELDLYPOP","TOT","PC_POP","A","2012",17.59689,
"FIN","ELDLYPOP","TOT","PC_POP","A","2012",18.45216,
"FRA","ELDLYPOP","TOT","PC_POP","A","2012",17.52355,
"DEU","ELDLYPOP","TOT","PC_POP","A","2012",21.10107,
"GRC","ELDLYPOP","TOT","PC_POP","A","2012",19.90983,"B"
"HUN","ELDLYPOP","TOT","PC_POP","A","2012",17.02621,
"IRL","ELDLYPOP","TOT","PC_POP","A","2012",11.98151,
"ITA","ELDLYPOP","TOT","PC_POP","A","2012",20.61767,
"LUX","ELDLYPOP","TOT","PC_POP","A","2012",13.96456,
"NLD","ELDLYPOP","TOT","PC_POP","A","2012",16.53454,
"POL","ELDLYPOP","TOT","PC_POP","A","2012",14.02398,
"PRT","ELDLYPOP","TOT","PC_POP","A","2012",19.21213,
"ESP","ELDLYPOP","TOT","PC_POP","A","2012",17.49094,
"SWE","ELDLYPOP","TOT","PC_POP","A","2012",18.97681,
"GBR","ELDLYPOP","TOT","PC_POP","A","2012",16.6004,
"EST","ELDLYPOP","TOT","PC_POP","A","2012",17.86775,
"SVN","ELDLYPOP","TOT","PC_POP","A","2012",16.95698,
"LVA","ELDLYPOP","TOT","PC_POP","A","2012",18.663,"B"
