"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","YNGPOP","TOT","PC_POP","A","2012",14.48575,
"BEL","YNGPOP","TOT","PC_POP","A","2012",17.00183,
"CZE","YNGPOP","TOT","PC_POP","A","2012",14.75574,
"DNK","YNGPOP","TOT","PC_POP","A","2012",17.56263,
"FIN","YNGPOP","TOT","PC_POP","A","2012",16.43886,
"FRA","YNGPOP","TOT","PC_POP","A","2012",18.43336,
"DEU","YNGPOP","TOT","PC_POP","A","2012",13.31377,
"GRC","YNGPOP","TOT","PC_POP","A","2012",14.66186,"B"
"HUN","YNGPOP","TOT","PC_POP","A","2012",14.46573,
"IRL","YNGPOP","TOT","PC_POP","A","2012",21.69494,
"ITA","YNGPOP","TOT","PC_POP","A","2012",14.09188,
"LUX","YNGPOP","TOT","PC_POP","A","2012",17.12707,
"NLD","YNGPOP","TOT","PC_POP","A","2012",17.23245,
"POL","YNGPOP","TOT","PC_POP","A","2012",15.0724,
"PRT","YNGPOP","TOT","PC_POP","A","2012",14.85091,
"SVK","YNGPOP","TOT","PC_POP","A","2012",15.37792,
"ESP","YNGPOP","TOT","PC_POP","A","2012",15.14335,
"SWE","YNGPOP","TOT","PC_POP","A","2012",16.78749,
"GBR","YNGPOP","TOT","PC_POP","A","2012",17.71291,
"EST","YNGPOP","TOT","PC_POP","A","2012",15.59013,
"SVN","YNGPOP","TOT","PC_POP","A","2012",14.37234,
"OECD","YNGPOP","TOT","PC_POP","A","2012",18.38051,"B"
"LVA","YNGPOP","TOT","PC_POP","A","2012",14.36545,"B"
