"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","FERTILITY","TOT","CHD_WOMAN","A","1960",2.7,
"AUT","FERTILITY","TOT","CHD_WOMAN","A","1961",2.8,
"AUT","FERTILITY","TOT","CHD_WOMAN","A","1962",2.8,
"AUT","FERTILITY","TOT","CHD_WOMAN","A","1963",2.8,
"AUT","FERTILITY","TOT","CHD_WOMAN","A","1964",2.8,
"AUT","FERTILITY","TOT","CHD_WOMAN","A","1965",2.7,
"AUT","FERTILITY","TOT","CHD_WOMAN","A","1966",2.7,
"AUT","FERTILITY","TOT","CHD_WOMAN","A","1967",2.6,
"AUT","FERTILITY","TOT","CHD_WOMAN","A","1968",2.6,
"AUT","FERTILITY","TOT","CHD_WOMAN","A","1969",2.5,
"AUT","FERTILITY","TOT","CHD_WOMAN","A","1970",2.3,
"AUT","FERTILITY","TOT","CHD_WOMAN","A","1971",2.2,
"AUT","FERTILITY","TOT","CHD_WOMAN","A","1972",2.1,
"AUT","FERTILITY","TOT","CHD_WOMAN","A","1973",1.9,
"AUT","FERTILITY","TOT","CHD_WOMAN","A","1974",1.9,
"AUT","FERTILITY","TOT","CHD_WOMAN","A","1975",1.8,
"AUT","FERTILITY","TOT","CHD_WOMAN","A","1976",1.7,
"AUT","FERTILITY","TOT","CHD_WOMAN","A","1977",1.6,
"AUT","FERTILITY","TOT","CHD_WOMAN","A","1978",1.6,
"AUT","FERTILITY","TOT","CHD_WOMAN","A","1979",1.6,
"AUT","FERTILITY","TOT","CHD_WOMAN","A","1980",1.7,
"AUT","FERTILITY","TOT","CHD_WOMAN","A","1981",1.7,
"AUT","FERTILITY","TOT","CHD_WOMAN","A","1982",1.7,
"AUT","FERTILITY","TOT","CHD_WOMAN","A","1983",1.6,
"AUT","FERTILITY","TOT","CHD_WOMAN","A","1984",1.5,
"AUT","FERTILITY","TOT","CHD_WOMAN","A","1985",1.5,
"AUT","FERTILITY","TOT","CHD_WOMAN","A","1986",1.4,
"AUT","FERTILITY","TOT","CHD_WOMAN","A","1987",1.4,
"AUT","FERTILITY","TOT","CHD_WOMAN","A","1988",1.4,
"AUT","FERTILITY","TOT","CHD_WOMAN","A","1989",1.4,
"AUT","FERTILITY","TOT","CHD_WOMAN","A","1990",1.5,
"AUT","FERTILITY","TOT","CHD_WOMAN","A","1991",1.5,
"AUT","FERTILITY","TOT","CHD_WOMAN","A","1992",1.5,
"AUT","FERTILITY","TOT","CHD_WOMAN","A","1993",1.5,
"AUT","FERTILITY","TOT","CHD_WOMAN","A","1994",1.5,
"AUT","FERTILITY","TOT","CHD_WOMAN","A","1995",1.4,
"AUT","FERTILITY","TOT","CHD_WOMAN","A","1996",1.4,
"AUT","FERTILITY","TOT","CHD_WOMAN","A","1997",1.4,
"AUT","FERTILITY","TOT","CHD_WOMAN","A","1998",1.4,
"AUT","FERTILITY","TOT","CHD_WOMAN","A","1999",1.3,
"AUT","FERTILITY","TOT","CHD_WOMAN","A","2000",1.4,
"AUT","FERTILITY","TOT","CHD_WOMAN","A","2001",1.3,
"AUT","FERTILITY","TOT","CHD_WOMAN","A","2002",1.4,
"AUT","FERTILITY","TOT","CHD_WOMAN","A","2003",1.4,
"AUT","FERTILITY","TOT","CHD_WOMAN","A","2004",1.4,
"AUT","FERTILITY","TOT","CHD_WOMAN","A","2005",1.4,
"AUT","FERTILITY","TOT","CHD_WOMAN","A","2006",1.4,
"AUT","FERTILITY","TOT","CHD_WOMAN","A","2007",1.4,
"AUT","FERTILITY","TOT","CHD_WOMAN","A","2008",1.4,
"AUT","FERTILITY","TOT","CHD_WOMAN","A","2009",1.4,
"AUT","FERTILITY","TOT","CHD_WOMAN","A","2010",1.4,
"AUT","FERTILITY","TOT","CHD_WOMAN","A","2011",1.4,
"AUT","FERTILITY","TOT","CHD_WOMAN","A","2012",1.4,
"AUT","FERTILITY","TOT","CHD_WOMAN","A","2013",1.4,
"AUT","FERTILITY","TOT","CHD_WOMAN","A","2014",1.5,
"AUT","FERTILITY","TOT","CHD_WOMAN","A","2015",1.5,
"BEL","FERTILITY","TOT","CHD_WOMAN","A","1960",2.5,
"BEL","FERTILITY","TOT","CHD_WOMAN","A","1961",2.6,
"BEL","FERTILITY","TOT","CHD_WOMAN","A","1962",2.6,
"BEL","FERTILITY","TOT","CHD_WOMAN","A","1963",2.7,
"BEL","FERTILITY","TOT","CHD_WOMAN","A","1964",2.7,
"BEL","FERTILITY","TOT","CHD_WOMAN","A","1965",2.6,
"BEL","FERTILITY","TOT","CHD_WOMAN","A","1966",2.5,
"BEL","FERTILITY","TOT","CHD_WOMAN","A","1967",2.4,
"BEL","FERTILITY","TOT","CHD_WOMAN","A","1968",2.3,
"BEL","FERTILITY","TOT","CHD_WOMAN","A","1969",2.3,
"BEL","FERTILITY","TOT","CHD_WOMAN","A","1970",2.3,
"BEL","FERTILITY","TOT","CHD_WOMAN","A","1971",2.2,
"BEL","FERTILITY","TOT","CHD_WOMAN","A","1972",2.1,
"BEL","FERTILITY","TOT","CHD_WOMAN","A","1973",2,
"BEL","FERTILITY","TOT","CHD_WOMAN","A","1974",1.8,
"BEL","FERTILITY","TOT","CHD_WOMAN","A","1975",1.7,
"BEL","FERTILITY","TOT","CHD_WOMAN","A","1976",1.7,
"BEL","FERTILITY","TOT","CHD_WOMAN","A","1977",1.7,
"BEL","FERTILITY","TOT","CHD_WOMAN","A","1978",1.7,
