"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","YNGPOP","TOT","PC_POP","A","1970",24.36375,
"AUT","YNGPOP","TOT","PC_POP","A","1971",24.31708,
"AUT","YNGPOP","TOT","PC_POP","A","1972",24.16052,
"AUT","YNGPOP","TOT","PC_POP","A","1973",23.8984,
"AUT","YNGPOP","TOT","PC_POP","A","1974",23.59042,
"AUT","YNGPOP","TOT","PC_POP","A","1975",23.23193,
"AUT","YNGPOP","TOT","PC_POP","A","1976",22.74909,
"AUT","YNGPOP","TOT","PC_POP","A","1977",22.1729,
"AUT","YNGPOP","TOT","PC_POP","A","1978",21.56459,
"AUT","YNGPOP","TOT","PC_POP","A","1979",20.95606,
"AUT","YNGPOP","TOT","PC_POP","A","1980",20.41742,
"AUT","YNGPOP","TOT","PC_POP","A","1981",19.97191,
"AUT","YNGPOP","TOT","PC_POP","A","1982",19.54452,
"AUT","YNGPOP","TOT","PC_POP","A","1983",19.08872,
"AUT","YNGPOP","TOT","PC_POP","A","1984",18.65121,
"AUT","YNGPOP","TOT","PC_POP","A","1985",18.29217,
"AUT","YNGPOP","TOT","PC_POP","A","1986",18.00332,
"AUT","YNGPOP","TOT","PC_POP","A","1987",17.77528,
"AUT","YNGPOP","TOT","PC_POP","A","1988",17.63876,
"AUT","YNGPOP","TOT","PC_POP","A","1989",17.56428,
"AUT","YNGPOP","TOT","PC_POP","A","1990",17.52439,
"AUT","YNGPOP","TOT","PC_POP","A","1991",17.57285,
"AUT","YNGPOP","TOT","PC_POP","A","1992",17.69113,
"AUT","YNGPOP","TOT","PC_POP","A","1993",17.78638,
"AUT","YNGPOP","TOT","PC_POP","A","1994",17.82931,
"AUT","YNGPOP","TOT","PC_POP","A","1995",17.81314,
"AUT","YNGPOP","TOT","PC_POP","A","1996",17.72609,
"AUT","YNGPOP","TOT","PC_POP","A","1997",17.57599,
"AUT","YNGPOP","TOT","PC_POP","A","1998",17.40614,
"AUT","YNGPOP","TOT","PC_POP","A","1999",17.23371,
"AUT","YNGPOP","TOT","PC_POP","A","2000",17.04366,
"AUT","YNGPOP","TOT","PC_POP","A","2001",16.81705,
"AUT","YNGPOP","TOT","PC_POP","A","2002",16.61653,
"AUT","YNGPOP","TOT","PC_POP","A","2003",16.43281,
"AUT","YNGPOP","TOT","PC_POP","A","2004",16.23424,
"AUT","YNGPOP","TOT","PC_POP","A","2005",16.02126,
"AUT","YNGPOP","TOT","PC_POP","A","2006",15.77364,
"AUT","YNGPOP","TOT","PC_POP","A","2007",15.50753,
"AUT","YNGPOP","TOT","PC_POP","A","2008",15.2521,
"AUT","YNGPOP","TOT","PC_POP","A","2009",15.01685,
"AUT","YNGPOP","TOT","PC_POP","A","2010",14.82204,
"AUT","YNGPOP","TOT","PC_POP","A","2011",14.65281,
"AUT","YNGPOP","TOT","PC_POP","A","2012",14.48575,
"AUT","YNGPOP","TOT","PC_POP","A","2013",14.3928,"B"
"BEL","YNGPOP","TOT","PC_POP","A","1970",23.59066,
